Date,Open,High,Low,Close,Adj Close,Volume
2021-05-10,1.488652,1.510579,1.240363,1.328732,1.328732,304912888
2021-05-11,1.329538,1.430874,1.305055,1.429343,1.429343,191133488
2021-05-12,1.429866,1.450533,1.216514,1.216514,1.216514,167997869
2021-05-13,1.228420,1.316386,1.164815,1.255737,1.255737,238519450
2021-05-14,1.251734,1.327542,1.241651,1.292764,1.292764,150062083
2021-05-15,1.292672,1.308402,1.200259,1.202266,1.202266,175658205
2021-05-16,1.201104,1.288032,1.101250,1.179600,1.179600,182180268
2021-05-17,1.179991,1.179991,1.014448,1.061845,1.061845,238911304
2021-05-18,1.059326,1.260444,1.051947,1.126573,1.126573,262083531
2021-05-19,1.126175,1.161619,0.505140,0.780321,0.780321,462798751
2021-05-20,0.773326,1.008933,0.688823,0.957015,0.957015,327249696
2021-05-21,0.957902,1.004121,0.702829,0.817255,0.817255,219396168
2021-05-22,0.818396,0.824308,0.699955,0.757636,0.757636,151567431
2021-05-23,0.758519,0.798956,0.491848,0.624548,0.624548,207790644
2021-05-24,0.621843,0.783448,0.590384,0.776767,0.776767,228589839
2021-05-25,0.779116,0.845262,0.721355,0.785971,0.785971,168923072
2021-05-26,0.787114,1.010215,0.763689,1.007270,1.007270,307774880
2021-05-27,1.007000,1.010594,0.858786,0.895462,0.895462,204563425
2021-05-28,0.898362,0.944552,0.774096,0.816419,0.816419,147717266
2021-05-29,0.813873,0.843557,0.696678,0.747404,0.747404,107452062
2021-05-30,0.747261,0.831482,0.694547,0.781807,0.781807,99117130
2021-05-31,0.781745,0.856966,0.741300,0.850733,0.850733,97203994
2021-06-01,0.849472,0.868016,0.800399,0.828951,0.828951,98158637
2021-06-02,0.829658,0.874694,0.808276,0.857035,0.857035,81083447
2021-06-03,0.857995,0.903657,0.841039,0.886840,0.886840,85097418
2021-06-04,0.889380,0.897399,0.773811,0.815569,0.815569,131971870
2021-06-05,0.815585,0.889306,0.789855,0.816988,0.816988,120065809
2021-06-06,0.815925,0.831044,0.802242,0.822074,0.822074,50556306
2021-06-07,0.821880,0.833099,0.736551,0.740986,0.740986,68154428
2021-06-08,0.741592,0.756730,0.631497,0.714197,0.714197,104684975
2021-06-09,0.712158,0.739758,0.666419,0.737089,0.737089,102177199
2021-06-10,0.738019,0.740380,0.680114,0.698737,0.698737,62936142
2021-06-11,0.698692,0.786580,0.676763,0.694044,0.694044,146561349
2021-06-12,0.694617,0.694617,0.628153,0.657534,0.657534,74973188
2021-06-13,0.657903,0.698352,0.641184,0.693372,0.693372,51869572
